,article_id,dates
10900,eebb9702,"[datetime.date(2017, 12, 20), datetime.date(2022, 11, 30), datetime.date(2017, 12, 26)]"
4268,6832ce57,"[datetime.date(2016, 9, 10), datetime.date(2016, 10, 24), datetime.date(2016, 12, 10), datetime.date(2017, 7, 31), datetime.date(2017, 5, 10)]"
1663,30f8f65e,[]
3789,5ec16472,"[datetime.date(2018, 4, 25)]"
6657,989c9942,"[datetime.date(2017, 3, 10), datetime.date(2023, 12, 10)]"
4243,67c8512,"[datetime.date(2018, 3, 2), datetime.date(2018, 3, 7), datetime.date(2016, 12, 2), datetime.date(2013, 3, 2), datetime.date(2017, 3, 2)]"
1326,2a5eb487,"[datetime.date(2017, 12, 20), datetime.date(2017, 5, 15)]"
7033,a034930a,"[datetime.date(2018, 3, 15), datetime.date(2022, 3, 10)]"
3240,5353b43c,[]
2191,3bdc3c9e,"[datetime.date(2054, 1, 14), datetime.date(2016, 1, 14), datetime.date(2018, 9, 14), datetime.date(2017, 9, 14), datetime.date(2018, 1, 15)]"
4574,6e9647c1,"[datetime.date(2018, 12, 31), datetime.date(2017, 12, 18), datetime.date(2017, 12, 31), datetime.date(2017, 12, 14), datetime.date(2018, 12, 14)]"
11001,f0e125c1,"[datetime.date(2018, 3, 9), datetime.date(2015, 2, 9), datetime.date(2018, 1, 9)]"
10264,e1bb22d5,"[datetime.date(2018, 5, 30), datetime.date(2017, 3, 5), datetime.date(2018, 5, 17), datetime.date(2018, 5, 23), datetime.date(2018, 6, 6)]"
3794,5eca9220,[]
2761,483d9535,"[datetime.date(2018, 5, 7), datetime.date(2058, 5, 21), datetime.date(2018, 5, 22), datetime.date(2018, 5, 3), datetime.date(2018, 5, 21)]"
5173,7ad5542b,[]
3129,5102591,"[datetime.date(2018, 1, 31), datetime.date(2018, 1, 29)]"
7463,a8f3cad,"[datetime.date(2018, 2, 10), datetime.date(2013, 2, 19), datetime.date(2020, 2, 19), datetime.date(2018, 12, 19), datetime.date(2018, 2, 19)]"
6305,91ab5a71,"[datetime.date(2030, 6, 10), datetime.date(2020, 6, 10), datetime.date(2053, 6, 10), datetime.date(2012, 6, 10), datetime.date(2018, 6, 10)]"
2323,3ec06dea,[]
8613,c03bca46,[]
9718,d674cc4e,"[datetime.date(2018, 5, 1), datetime.date(2014, 2, 1), datetime.date(2018, 2, 7)]"
